Date,Item,Sales (Qty),Weather,Event,Sales (Qty)_lag_1,Sales (Qty)_lag_2,Sales (Qty)_lag_3,Sales (Qty)_lag_4,Sales (Qty)_lag_5,Sales (Qty)_lag_6,Sales (Qty)_lag_7,Day of Week,Month
2023-01-01,Burger,51,Rainy,Holiday,56.0,51.0,49.0,63.0,47.0,39.0,47.0,6,1
2023-01-01,Burger,44,Cloudy,Holiday,51.0,56.0,51.0,49.0,63.0,47.0,39.0,6,1
2023-01-01,Pizza,56,Sunny,Festival,44.0,51.0,56.0,51.0,49.0,63.0,47.0,6,1
2023-01-01,Burger,50,Cloudy,Holiday,56.0,44.0,51.0,56.0,51.0,49.0,63.0,6,1
2023-01-01,Burger,50,Sunny,None,50.0,56.0,44.0,51.0,56.0,51.0,49.0,6,1
2023-01-01,Pasta,38,Rainy,None,50.0,50.0,56.0,44.0,51.0,56.0,51.0,6,1
2023-01-01,Pasta,50,Rainy,None,38.0,50.0,50.0,56.0,44.0,51.0,56.0,6,1
2023-01-01,Pizza,51,Sunny,None,50.0,38.0,50.0,50.0,56.0,44.0,51.0,6,1
2023-01-01,Pizza,49,Cloudy,None,51.0,50.0,38.0,50.0,50.0,56.0,44.0,6,1
2023-01-01,Pizza,49,Cloudy,None,49.0,51.0,50.0,38.0,50.0,50.0,56.0,6,1
2023-01-01,Pizza,55,Cloudy,Festival,49.0,49.0,51.0,50.0,38.0,50.0,50.0,6,1
2023-01-01,Pasta,49,Sunny,Holiday,55.0,49.0,49.0,51.0,50.0,38.0,50.0,6,1
2023-01-01,Pizza,55,Rainy,Festival,49.0,55.0,49.0,49.0,51.0,50.0,38.0,6,1
2023-01-01,Pasta,52,Sunny,Festival,55.0,49.0,55.0,49.0,49.0,51.0,50.0,6,1
2023-01-01,Burger,69,Rainy,None,52.0,55.0,49.0,55.0,49.0,49.0,51.0,6,1
2023-01-01,Pasta,41,Sunny,Holiday,69.0,52.0,55.0,49.0,55.0,49.0,49.0,6,1
2023-01-01,Pasta,43,Sunny,Holiday,41.0,69.0,52.0,55.0,49.0,55.0,49.0,6,1
2023-01-01,Pizza,54,Cloudy,Holiday,43.0,41.0,69.0,52.0,55.0,49.0,55.0,6,1
